22-07-2016 02:18:53 infiSTAR.de | 0h 6min | Michael Jackson(76561198129878487) | Teleport to [13827.8,18977,0](GPS: 138189) (v0228B)
22-07-2016 06:48:19 infiSTAR.de | 0h 49min | Arlindo Neto(76561198112843376) | spawning Y-32 Xi'an (veículo de transporte) (O_T_VTOL_02_vehicle_F) (v0228B)
22-07-2016 06:49:26 infiSTAR.de | 0h 50min | Arlindo Neto(76561198112843376) | Teleport to [3237.56,12950.1,0](GPS: 032129) (v0228B)
22-07-2016 06:49:46 infiSTAR.de | 0h 51min | Arlindo Neto(76561198112843376) | spawning V-44 X Blackfish (transp. de infantaria) (B_T_VTOL_01_infantry_F) (v0228B)
22-07-2016 06:59:49 infiSTAR.de | 1h 1min | Arlindo Neto(76561198112843376) | spawning Hunter (B_MRAP_01_F) (v0228B)
22-07-2016 07:01:00 infiSTAR.de | 1h 2min | Arlindo Neto(76561198112843376) | spawning Prowler (armado) (B_T_LSV_01_armed_F) (v0228B)
22-07-2016 07:01:06 infiSTAR.de | 1h 2min | Arlindo Neto(76561198112843376) | Deleting B_T_VTOL_01_infantry_F @031129.. (v0228B)
22-07-2016 07:01:23 infiSTAR.de | 1h 2min | Arlindo Neto(76561198112843376) | spawning V-44 X Blackfish (veículo de transporte) (B_T_VTOL_01_vehicle_blue_F) (v0228B)
22-07-2016 07:02:50 infiSTAR.de | 1h 4min | Arlindo Neto(76561198112843376) | DayTime (v0228B)
22-07-2016 07:05:14 infiSTAR.de | 1h 6min | Arlindo Neto(76561198112843376) | Kick (Silent) - civ_3(76561198056719829) (v0228B)
22-07-2016 07:05:21 infiSTAR.de | 1h 6min | Arlindo Neto(76561198112843376) | Teleport to [15202.6,16773.3,0](GPS: 152167) (v0228B)
22-07-2016 07:05:22 infiSTAR.de | 1h 6min | Arlindo Neto(76561198112843376) | Teleport to [15205.5,16778,0](GPS: 152167) (v0228B)
22-07-2016 07:06:06 infiSTAR.de | 1h 7min | Arlindo Neto(76561198112843376) | spawning A-164 Wipeout (CAS) (B_Plane_CAS_01_F) (v0228B)
22-07-2016 07:06:22 infiSTAR.de | 1h 7min | Arlindo Neto(76561198112843376) | spawning Y-32 Xi'an (veículo de transporte) (O_T_VTOL_02_vehicle_hex_F) (v0228B)
22-07-2016 07:06:32 infiSTAR.de | 1h 7min | Arlindo Neto(76561198112843376) | Teleport - Me To Target - MAJ.SAIGA [CIV](76561198056719829) (v0228B)
22-07-2016 07:06:37 infiSTAR.de | 1h 8min | Arlindo Neto(76561198112843376) | Teleport to [15210.2,16757.3,0](GPS: 152167) (v0228B)
22-07-2016 07:06:37 infiSTAR.de | 1h 8min | Arlindo Neto(76561198112843376) | Teleport to [15200.6,16786.2,0](GPS: 152167) (v0228B)
22-07-2016 07:06:42 infiSTAR.de | 1h 8min | Arlindo Neto(76561198112843376) | Teleport - Target To Me - MAJ.SAIGA [CIV](76561198056719829) (v0228B)
22-07-2016 07:12:49 infiSTAR.de | 1h 14min | Arlindo Neto(76561198112843376) | Kick (Silent) - civ_1(76561198056719829) (v0228B)
22-07-2016 08:10:07 infiSTAR.de | 28h 1min | Arlindo Neto(76561198112843376) | Teleport to [9183.3,21660.5,0](GPS: 091216) (v0228B)
22-07-2016 08:12:38 infiSTAR.de | 0h 7min | Arlindo Neto(76561198112843376) | Teleport to [11599.4,11996.6,0](GPS: 115119) (v0228B)
22-07-2016 08:34:09 infiSTAR.de | 28h 25min | Arlindo Neto(76561198112843376) | Teleport to [3627.82,13089.8,0](GPS: 036130) (v0228B)
22-07-2016 08:35:08 infiSTAR.de | 28h 26min | Arlindo Neto(76561198112843376) | Teleport to [9188.14,21647.6,0](GPS: 091216) (v0228B)
22-07-2016 08:37:18 infiSTAR.de | 0h 7min | Arlindo Neto(76561198112843376) | Restore - civ_2(76561198112843376) (v0228B)
22-07-2016 08:39:03 infiSTAR.de | 0h 9min | Arlindo Neto(76561198112843376) | Kick (Silent) - civ_2(76561198112843376) (v0228B)
22-07-2016 08:41:21 infiSTAR.de | 0h 11min | Arlindo Neto(76561198112843376) | Teleport to [14676.2,16773.3,0](GPS: 146167) (v0228B)
22-07-2016 08:41:53 infiSTAR.de | 0h 12min | Arlindo Neto(76561198112843376) | Teleport to [11602.5,12011.4,0](GPS: 116120) (v0228B)
22-07-2016 08:42:22 infiSTAR.de | 0h 12min | Arlindo Neto(76561198112843376) | Teleport to [22762.5,13593.5,0](GPS: 227135) (v0228B)
